lighthouse,objectives,timeline,Target Date
indonesian fluency,skillz (Life%20Dashboard%20-%20GSD%203ac7aebc38364b38a10246145786ea59/objectives%201b66509554a7804d90c1dc1239f7e26c/skillz%201b66509554a780309dfffa207ed42759.md),🏔 3–5 Years,2028/12/31
portuguese fluency,skillz (Life%20Dashboard%20-%20GSD%203ac7aebc38364b38a10246145786ea59/objectives%201b66509554a7804d90c1dc1239f7e26c/skillz%201b66509554a780309dfffa207ed42759.md),🏔 3–5 Years,2028/12/31
russian fluency,skillz (Life%20Dashboard%20-%20GSD%203ac7aebc38364b38a10246145786ea59/objectives%201b66509554a7804d90c1dc1239f7e26c/skillz%201b66509554a780309dfffa207ed42759.md),🏔 3–5 Years,2028/12/31
full ironman,healthz + fitNaz (Life%20Dashboard%20-%20GSD%203ac7aebc38364b38a10246145786ea59/objectives%201b66509554a7804d90c1dc1239f7e26c/healthz%20+%20fitNaz%201b66509554a780039ecefb4a905886ff.md),🏔 3–5 Years,2029/06/15
Palms to Pines,healthz + fitNaz (Life%20Dashboard%20-%20GSD%203ac7aebc38364b38a10246145786ea59/objectives%201b66509554a7804d90c1dc1239f7e26c/healthz%20+%20fitNaz%201b66509554a780039ecefb4a905886ff.md),🏔 3–5 Years,2029/12/31
500 hrs volunteering,lifeztyle (Life%20Dashboard%20-%20GSD%203ac7aebc38364b38a10246145786ea59/objectives%201b66509554a7804d90c1dc1239f7e26c/lifeztyle%201b66509554a780659f71e4c67907b6d0.md),🏔 3–5 Years,2029/12/31
HSK 6,skillz (Life%20Dashboard%20-%20GSD%203ac7aebc38364b38a10246145786ea59/objectives%201b66509554a7804d90c1dc1239f7e26c/skillz%201b66509554a780309dfffa207ed42759.md),🏔 3–5 Years,2029/12/31
win a moth grand slam,skillz (Life%20Dashboard%20-%20GSD%203ac7aebc38364b38a10246145786ea59/objectives%201b66509554a7804d90c1dc1239f7e26c/skillz%201b66509554a780309dfffa207ed42759.md),🏔 3–5 Years,2029/12/31
live abroad,lifeztyle (Life%20Dashboard%20-%20GSD%203ac7aebc38364b38a10246145786ea59/objectives%201b66509554a7804d90c1dc1239f7e26c/lifeztyle%201b66509554a780659f71e4c67907b6d0.md),🏔 3–5 Years,2029/12/31
cycle US,lifeztyle (Life%20Dashboard%20-%20GSD%203ac7aebc38364b38a10246145786ea59/objectives%201b66509554a7804d90c1dc1239f7e26c/lifeztyle%201b66509554a780659f71e4c67907b6d0.md),🏔 3–5 Years,2029/12/31
10 million networth,bizNaz (Life%20Dashboard%20-%20GSD%203ac7aebc38364b38a10246145786ea59/objectives%201b66509554a7804d90c1dc1239f7e26c/bizNaz%201b66509554a7804eb582f48acd60fda0.md),🏔 3–5 Years,2029/12/31
give TED talk,YNM (Life%20Dashboard%20-%20GSD%203ac7aebc38364b38a10246145786ea59/objectives%201b66509554a7804d90c1dc1239f7e26c/YNM%201b66509554a780c29cc7c4a949350c81.md),🏔 3–5 Years,2029/12/31
